SampleID,Hugo_Symbol,PyClonePhyloCluster
CRUK0062,TBX22,NA
CRUK0062,BEND2,NA
CRUK0062,ITPR1,4
CRUK0062,TENM1,NA
CRUK0062,PHLPP2,4
CRUK0062,PLB1,4
CRUK0062,OXTR,4
CRUK0062,GPN1,4
CRUK0062,CLK4,25
CRUK0062,DACH2,NA
CRUK0062,ALLC,4
CRUK0062,WDFY3,3
CRUK0062,APBB2,11
CRUK0062,DBP,4
CRUK0062,OBSCN,20
CRUK0062,RAD54L2,14
CRUK0062,EPS15,4
CRUK0062,UVSSA,4
CRUK0062,RTN3,4
CRUK0062,NFATC1,4
CRUK0062,KDM6B,4
CRUK0062,STX18,4
CRUK0062,TP53,4
CRUK0062,SSTR1,3
CRUK0062,WFDC12,4
CRUK0062,SFMBT1,11
CRUK0062,ZNF787,4
CRUK0062,EPS15,4
CRUK0062,CNKSR2,NA
CRUK0062,ZNF444,4
CRUK0062,PNKP,4
CRUK0062,DHX34,4
CRUK0062,KCNE4,4
CRUK0062,HGSNAT,4
CRUK0062,LRRC7,20
CRUK0062,SMIM21,4
CRUK0062,MPEG1,3
CRUK0062,STXBP6,3
CRUK0062,COL22A1,4
CRUK0062,TOP2B,11
CRUK0062,CLMN,26
CRUK0062,PPP2R5C,3
CRUK0062,MIR514B,NA
CRUK0062,FDXACB1,14
CRUK0062,CSN2,4
CRUK0062,DLC1,4
CRUK0062,EBAG9,4
CRUK0062,BRD8,28
CRUK0062,PDILT,3
CRUK0062,TFPT,3
CRUK0062,ZDBF2,19
CRUK0062,ALB,11
CRUK0062,TRIM67,20
CRUK0062,CAMK2D,4
CRUK0062,MAG,4
CRUK0062,SIPA1L3,3
CRUK0062,PREX2,4
CRUK0062,PPP1R36,3
CRUK0062,SH3RF1,4
CRUK0062,CHD8,3
CRUK0062,CTSA,3
CRUK0062,CMC2,11
CRUK0062,FAM135B,10
CRUK0062,FAM135B,4
CRUK0062,TMEM145,3
CRUK0062,XIRP1,8
CRUK0062,CSMD3,4
CRUK0062,PDP1,4
CRUK0062,OR9G4,10
CRUK0062,NYNRIN,30
CRUK0062,NUP160,4
CRUK0062,CAPN8,19
CRUK0062,SMARCE1,4
CRUK0062,OR2L2,8
CRUK0062,PACS2,35
CRUK0062,MIR100HG,10
CRUK0062,ANKRD12,4
CRUK0062,SLC25A25,4
CRUK0062,OR4E2,32
CRUK0062,RYR3,4
CRUK0062,GTF3C1,29
CRUK0062,ZFHX4,4
CRUK0062,ASIC2,4
CRUK0062,IBTK,10
CRUK0062,DNHD1,4
CRUK0062,WDR64,8
CRUK0062,MKNK2,4
CRUK0062,ZNF628,34
CRUK0062,PRRT4,4
CRUK0062,UNC79,35
CRUK0062,RGS6,29
CRUK0062,DENND4A,4
CRUK0062,RASAL3,4
CRUK0062,TANC2,4
CRUK0062,IL27,29
CRUK0062,MAPK12,37
CRUK0062,ZNRF4,4
CRUK0062,TBX15,NA
CRUK0062,NT5C1A,10
CRUK0062,PQLC1,4
CRUK0062,ACOT6,30
CRUK0062,SPTBN1,4
CRUK0062,ABCA2,28
CRUK0062,ARHGAP36,NA
CRUK0062,GRIK5,14
CRUK0062,COL4A2,4
CRUK0062,HDAC10,3
CRUK0062,MIR548Y,31
CRUK0062,CYP3A5,4
CRUK0062,ITPK1,32
CRUK0062,PDPN,40
CRUK0062,DNAH7,3
CRUK0062,PTPN3,14
CRUK0062,PPP2R2D,4
CRUK0062,OTOF,4
CRUK0062,KCNT1,3
CRUK0062,ANXA9,4
CRUK0062,PTPRH,34
CRUK0062,ADAMTS16,4
CRUK0062,CD109,10
CRUK0062,JAKMIP1,8
CRUK0062,DCAF12L1,NA
CRUK0062,VSTM2B,8
CRUK0062,CDHR5,24
CRUK0062,EPS8L2,27
CRUK0062,VAV2,11
CRUK0062,PPARGC1A,8
CRUK0062,RPS6KA2,4
CRUK0062,NCS1,19
CRUK0062,WAS,NA
CRUK0062,HNF4A,3
CRUK0062,B4GALNT4,3
CRUK0062,CD63,19
CRUK0062,SNPH,4
CRUK0062,UTP20,10
CRUK0062,MYO7A,3
CRUK0062,CDHR2,28
CRUK0062,GALNT9,22
CRUK0062,USP6,NA
CRUK0062,AJUBA,38
CRUK0062,ADRA1D,4
CRUK0062,GALNT8,14
CRUK0062,MAP2K1,26
CRUK0062,RBBP7,NA
CRUK0062,PKHD1,3
CRUK0062,CSNK1A1L,4
CRUK0062,KIAA1755,3
CRUK0062,MAN1B1-AS1,28
CRUK0062,NEDD9,4
CRUK0062,GLTSCR1L,4
CRUK0062,ACBD6,3
CRUK0062,SNX7,10
CRUK0062,FBN2,29
CRUK0062,IGSF6,30
CRUK0062,GFRAL,4
CRUK0062,FCHO1,4
CRUK0062,SLC4A5,4
CRUK0062,MIR5694,4
CRUK0062,GREM1,11
CRUK0062,NBEAL1,20
CRUK0062,ASXL3,3
CRUK0062,WDSUB1,4
CRUK0062,DHX32,26
CRUK0062,DPP10,11
CRUK0062,MAN2B1,3
CRUK0062,MAZ,4
CRUK0062,CNKSR2,NA
CRUK0062,RGL3,11
CRUK0062,MCCC2,11
CRUK0062,C9orf84,30
CRUK0062,AMPD1,27
CRUK0062,ARHGAP4,NA
CRUK0062,ARIH1,4
CRUK0062,ZEB2,20
CRUK0062,LBP,22
CRUK0062,CDH10,3
CRUK0062,SLC35D3,19
CRUK0062,SKAP1,23
CRUK0062,RYR2,10
CRUK0062,DDX46,3
CRUK0062,UBE3D,26
CRUK0062,NUP205,NA
CRUK0062,RND2,27
CRUK0062,MMP16,26
CRUK0062,OSBPL5,NA
CRUK0062,VPS13A,21
CRUK0062,MDGA2,37
CRUK0062,SNORD93,11
CRUK0062,TDRD7,3
CRUK0062,NUSAP1,26
CRUK0062,TSPAN16,4
CRUK0062,KCNK16,4
CRUK0062,RYR2,30
CRUK0062,ISL1,3
CRUK0062,HEATR3,8
CRUK0062,ALPK3,4
CRUK0062,PLEKHA5,23
CRUK0062,CYP1B1,3
CRUK0062,SMAD3,NA
CRUK0062,LYN,11
CRUK0062,SEC63,11
CRUK0062,TMCO1,3
CRUK0062,PZP,22
CRUK0062,SF3B1,10
CRUK0062,TDRKH,4
CRUK0062,ZRANB3,3
CRUK0062,CTNNA2,4
CRUK0062,LYST,28
CRUK0062,ANKRD55,4
CRUK0062,C1orf105,11
CRUK0062,CACNA1C,10
CRUK0062,ZFAND4,4
CRUK0062,EIF3A,10
CRUK0062,ACADSB,4
CRUK0062,RBM26,10
CRUK0062,PKHD1,4
CRUK0062,CAMK2D,4
CRUK0062,CAMTA1,8
CRUK0062,GGT7,4
CRUK0062,MTSS1,14
CRUK0062,IGSF9B,17
CRUK0062,KIF6,14
CRUK0062,PLEC,38
CRUK0062,SAMD3,10
CRUK0062,KDM4B,3
CRUK0062,ZNF697,35
CRUK0062,CACNB4,19
CRUK0062,VPS16,10
CRUK0062,PACSIN1,4
CRUK0062,SUPT6H,19
CRUK0062,LRMP,23
CRUK0062,LRP5,4
CRUK0062,ZNF559,21
CRUK0062,OR9K2,4
CRUK0062,RADIL,4
CRUK0062,SUCO,4
CRUK0062,NTF3,10
CRUK0062,ANKS1B,3
CRUK0062,GPR158,11
CRUK0062,GPR108,11
CRUK0062,SLC35F5,4
CRUK0062,LOC648691,27
CRUK0062,HOXC13,14
CRUK0062,PAH,25
CRUK0062,DNAH5,3
CRUK0062,MYO18A,3
CRUK0062,GCAT,NA
CRUK0062,ASIC2,4
CRUK0062,IL17REL,3
CRUK0062,BIRC6,3
CRUK0062,TDRKH,11
CRUK0062,VWA9,11
CRUK0062,ST6GAL2,22
CRUK0062,LINC00577,11
CRUK0062,CAPN9,28
CRUK0062,PPP1R9A,24
CRUK0062,WDR64,14
CRUK0062,DNAH8,11
CRUK0062,CDH10,4
CRUK0062,USP6NL,14
CRUK0062,ECEL1,8
CRUK0062,MBLAC1,11
CRUK0062,ZBED3,4
CRUK0062,NPR3,4
CRUK0062,KIF20B,4
CRUK0062,COL2A1,3
CRUK0062,IDI1,8
CRUK0062,TMEM171,4
CRUK0062,RHOC,3
CRUK0062,RELN,4
CRUK0062,TTC40,3
CRUK0062,FIGNL2,14
CRUK0062,R3HDM2,22
CRUK0062,KIAA0100,3
CRUK0062,LINC00331,11
CRUK0062,MNDA,3
CRUK0062,BRCA1,27
CRUK0062,OPALIN,3
CRUK0062,SUN5,11
CRUK0062,NEK3,14
CRUK0062,CELF6,8
CRUK0062,BTAF1,4
CRUK0062,DRAM2,14
CRUK0062,TERF2IP,29
CRUK0062,DNAH7,3
CRUK0062,TRIO,4
CRUK0062,HNRNPUL2-BSCL2,8
CRUK0062,RLTPR,31
CRUK0062,LRBA,8
CRUK0062,AFAP1L1,31
CRUK0062,MYBPC1,22
CRUK0062,VPS41,8
CRUK0062,CSMD3,8
CRUK0062,LRRN3,19
CRUK0062,AP5Z1,8
CRUK0062,USH1G,13
CRUK0062,MYO16,3
CRUK0062,MIR137,8
CRUK0062,C19orf38,NA
CRUK0062,BRE,33
CRUK0062,RP5-944M2.3,8
CRUK0062,MROH2B,11
CRUK0062,UNC80,36
CRUK0062,NDUFB9,3
CRUK0062,ASB17,27
CRUK0062,COL4A4,29
CRUK0062,WEE2,20
CRUK0062,YIF1A,8
CRUK0062,HNF4A,8
CRUK0062,COL6A2,8
CRUK0062,PIP4K2A,11
CRUK0062,ERC1,8
CRUK0062,CCDC41,10
CRUK0062,CASKIN2,3
CRUK0062,CACNA1F,NA
CRUK0062,GRM1,11
CRUK0062,HOMER1,8
CRUK0062,SPEN,10
CRUK0062,CDHR1,10
CRUK0062,KLC2,39
CRUK0062,RELN,NA
CRUK0062,HGF,25
CRUK0062,CDH22,34
CRUK0062,INSC,27
CRUK0062,ZFHX4,8
CRUK0062,NSD1,16
CRUK0062,INPP1,2
CRUK0062,TMOD3,26
CRUK0062,TNKS1BP1,27
CRUK0062,TAF4,4
CRUK0062,TMEM170A,2
CRUK0062,PLEKHA4,8
CRUK0062,BTBD16,3
CRUK0062,NPHS1,4
CRUK0062,UNC80,36
CRUK0062,FBXO45,4
CRUK0062,PTPN18,10
CRUK0062,BRIP1,8
CRUK0062,KDM3A,2
CRUK0062,GLI2,3
CRUK0062,ACTR3,8
CRUK0062,LPXN,NA
CRUK0062,CXXC11,14
CRUK0062,NUFIP1,21
CRUK0062,ARF5,26
CRUK0062,USP28,4
CRUK0062,SAMD14,4
CRUK0062,PML,8
CRUK0062,ST7,3
CRUK0062,GREB1,33
CRUK0062,CD44,27
CRUK0062,C17orf112,NA
CRUK0062,ADARB2,10
CRUK0062,UACA,8
CRUK0062,OR2L8,8
CRUK0062,WDR74,2
CRUK0062,MBLAC1,11
CRUK0062,TMEM2,16
CRUK0062,NR2C2AP,8
CRUK0062,DENND4B,8
CRUK0062,KLHL28,2
CRUK0062,LRRC72,8
CRUK0062,PHF20,4
CRUK0062,LAMC1,8
CRUK0062,LEMD3,8
CRUK0062,ARHGAP33,8
CRUK0062,LOC100505817,24
CRUK0062,ZKSCAN3,8
CRUK0062,HEPACAM2,3
CRUK0062,ABT1,8
CRUK0062,ZNF789,14
CRUK0062,PDE10A,3
CRUK0062,NOTUM,3
CRUK0062,PDE10A,10
CRUK0062,ZSWIM3,32
CRUK0062,C18orf63,33
CRUK0062,CEP112,3
CRUK0062,GON4L,8
CRUK0062,MYH3,5
CRUK0062,MCTP2,4
CRUK0062,LRP1,8
CRUK0062,HAO2,10
CRUK0062,AQP9,10
CRUK0062,FPGT-TNNI3K,20
CRUK0062,USP43,5
CRUK0062,CUL3,42
CRUK0062,GRM8,26
CRUK0062,MGA,23
CRUK0062,SNX2,16
CRUK0062,VWA3B,8
CRUK0062,ZSWIM6,2
CRUK0062,OR51V1,3
CRUK0062,MYOM1,10
CRUK0062,HADHB,10
CRUK0062,CFTR,8
CRUK0062,CNOT1,31
CRUK0062,DCAF12L2,NA
CRUK0062,SNAP91,2
CRUK0062,FAM150A,6
CRUK0062,SLC28A3,3
CRUK0062,MIR4759,8
CRUK0062,ZNF626,8
CRUK0062,IGSF9B,3
CRUK0062,IMPG1,8
CRUK0062,MALT1,8
CRUK0062,TNN,8
CRUK0062,GPS1,8
CRUK0062,APOL5,8
CRUK0062,SLC9C1,10
CRUK0062,PARP15,6
CRUK0062,SP140,3
CRUK0062,RGS7,10
CRUK0062,C2orf54,29
CRUK0062,ARAP2,15
CRUK0062,CAPZA2,8
CRUK0062,CYLD,32
CRUK0062,BRI3,8
CRUK0062,GPR98,17
CRUK0062,DOCK4-AS1,16
CRUK0062,CRHR2,10
CRUK0062,ANK2,17
CRUK0062,MOSPD2,NA
CRUK0062,SPATA2L,28
CRUK0062,SUSD4,3
CRUK0062,MTFR1,3
CRUK0062,FREM3,3
CRUK0062,OR2B2,3
CRUK0062,LAMA2,3
CRUK0062,RNF17,10
CRUK0062,TPBGL,2
CRUK0062,DKFZP434K028,5
CRUK0062,MICALL2,8
CRUK0062,NUFIP1,21
CRUK0062,CIITA,NA
CRUK0062,GLYAT,2
CRUK0062,SEC31B,5
CRUK0062,SPTBN1,3
CRUK0062,MYO9B,2
CRUK0062,RASEF,NA
CRUK0062,TMC4,2
CRUK0062,SLIT3,5
CRUK0062,PINX1,6
CRUK0062,CACHD1,5
CRUK0062,MTM1,NA
CRUK0062,KRTAP21-3,8
CRUK0062,MYH13,6
CRUK0062,SI,11
CRUK0062,ST6GALNAC1,8
CRUK0062,THSD7A,6
CRUK0062,ITIH5,10
CRUK0062,FBRSL1,5
CRUK0062,ZNF541,13
CRUK0062,CBX1,25
CRUK0062,TIGD7,28
CRUK0062,TNRC18,11
CRUK0062,CCBL1,2
CRUK0062,EPB41L1,2
CRUK0062,TBCC,2
CRUK0062,ADAMDEC1,13
CRUK0062,CSMD2,5
CRUK0062,PPP1R7,5
CRUK0062,PAPPA2,3
CRUK0062,CCDC129,2
CRUK0062,MLIP,3
CRUK0062,TMC5,5
CRUK0062,KIAA1875,6
CRUK0062,EP400,10
CRUK0062,FABP9,13
CRUK0062,PDE4DIP,11
CRUK0062,GPC6,2
CRUK0062,GPATCH8,3
CRUK0062,CHRD,11
CRUK0062,CHRNA2,3
CRUK0062,CCBL1,2
CRUK0062,DTD1,6
CRUK0062,KIAA1009,2
CRUK0062,BZRAP1,6
CRUK0062,REV1,3
CRUK0062,C1orf112,3
CRUK0062,LDHD,2
CRUK0062,SIDT2,5
CRUK0062,TK2,2
CRUK0062,SGSM1,21
CRUK0062,OPRK1,6
CRUK0062,LRRIQ4,16
CRUK0062,KDM2B,2
CRUK0062,ITSN1,5
CRUK0062,OR7A10,2
CRUK0062,NOL8,16
CRUK0062,EFNA5,2
CRUK0062,DRP2,NA
CRUK0062,MYO10,2
CRUK0062,PRTN3,5
CRUK0062,TNFSF10,39
CRUK0062,ZFPM2,23
CRUK0062,GCN1L1,5
CRUK0062,CRB1,5
CRUK0062,CCBL1,2
CRUK0062,RP11-3P17.4,20
CRUK0062,RUNX2,2
CRUK0062,MPP6,5
CRUK0062,BACH2,3
CRUK0062,C1S,6
CRUK0062,MAML1,5
CRUK0062,AGRN,8
CRUK0062,BRIP1,NA
CRUK0062,SLC39A6,5
CRUK0062,COL9A3,3
CRUK0062,EEF2,3
CRUK0062,SLC2A2,10
CRUK0062,AHNAK,5
CRUK0062,KAT6A,5
CRUK0062,HGF,3
CRUK0062,C9orf153,2
CRUK0062,TMPRSS6,8
CRUK0062,IFT80,17
CRUK0062,ABCC5,10
CRUK0062,VPS45,2
CRUK0062,GDPD3,2
CRUK0062,NUDT16L1,5
CRUK0062,ACO2,3
CRUK0062,ARNT,2
CRUK0062,GABRG1,6
CRUK0062,ZNF667,5
CRUK0062,MAP6,17
CRUK0062,GABRA1,5
CRUK0062,MGAM,17
CRUK0062,ANKRD62,NA
CRUK0062,SLC25A10,13
CRUK0062,C8orf12,5
CRUK0062,VTI1A,17
CRUK0062,SHANK2,10
CRUK0062,MNT,2
CRUK0062,MOGS,2
CRUK0062,GAPVD1,5
